active_cases, Casos ativos estimados na data
cases_mavg (não utilizado), Média móvel de 7 dias de casos
city_id, Código IBGE* (renomeado de city_ibge_code)
city_name, Nome do município
confirmed_cases, Número de casos confirmados do último dia disponível igual ou anterior à data* (renomeado de last_available_confirmed)
daily_cases, Número de novos casos confirmados desde o último dia (renomeado de new_confirmed)*
daily_cases_growth, Tendência do número de casos por dia (crescendo | decrescendo | estabilizando)
daily_cases_mavg (não utilizado), Média móvel de 7 dias para casos diários
daily_cases_mavg_100k, Média móvel de 7 dias para casos diários por 100 mil habitantes
deaths, Número de mortes acumuladas do último dia disponível igual ou anterior à data (renomeado de last_available_deaths)*
deaths_mavg (não utilizado), Média móvel de 7 dias de mortes acumuladas
epidemiological_week, Número da semana epidemiológica*
estimated_cases, Casos novos diários estimados no local
estimated_population (não utilizado), Dado de população estimada do IBGE (via Brasil.io)
expected_mortality, Porcentagem teórica de infectados que chegam a óbito
health_region_id, Código da região de saúde
health_region_name, Nome da região de saúde
index (não utilizado), Índice
infectious_period_cases, Número de novos casos no período de progressão da doença (até 14 dias antes da data da linha)
is_last, Campo pré-computado que diz se esse registro é o mais novo para esse local. Pode ser True ou False*
is_repeated, Campo pré-computado que diz se as informações nesse registro foram publicadas pela Secretaria Estadual de Saúde no dia date ou se o dado é repetido do último dia em que o dado está disponível (igual ou anterior a date). Isso ocorre pois nem todas as secretarias publicam boletins todos os dias. Veja também o campo last_available_date*
last_available_confirmed_per_100k_inhabitants, Número de casos confirmados por 100.000 habitantes na data*
last_available_date, Data da qual o dado se refere*
last_available_death_rate, Taxa de mortalidade (mortes / confirmados) do último dia disponível igual ou anterior à data*
last_updated, Data da atualização dos dados* (renomeado de date)
new_deaths , Número de novos óbitos desde o último dia*
new_deaths_growth, Tendência de número de óbitos por dia (crescendo | decrescendo | estabilizando)
new_deaths_mavg (não utilizado), Média móvel de 7 dias de novos óbitos 
new_deaths_mavg_100k, Média móvel de 7 dias de novos óbitos por 100 mil habitantes 
notification_rate, Taxa de notificação de casos estimada no município
order_for_place (não utilizado), Número que identifica a ordem do registro para este local. O registro referente ao primeiro boletim em que esse local aparecer será contabilizado como 1 e os demais boletins incrementarão esse valor*
place_type, Tipo de local que esse registro descreve. Pode ser city ou state* (filtrado somente para city)
population, População residente estimada do DataSUS (CNES)
state_id, Código da unidade federativa
state_name, Nome do estado
state_num_id, Código numérico do estado (IBGE)
total_estimated_cases, Casos acumulados estimados no local até a data
data_last_refreshed, Data da última atualização do dado na API
