health_region_id,health_region_name,total,from_0_to_9,from_10_to_19,from_20_to_29,from_30_to_39,from_40_to_49,from_50_to_59,from_60_to_69,from_70_to_79,from_80_to_older
11001,Vale do Jamari,274136,45627,47064,48369,44468,36913,26646,15675,7013,2361
11002,Café,172081,24857,26912,29549,28666,24113,18947,11565,5308,2164
11003,Central,343113,50296,53452,57656,56436,47815,38075,23695,11108,4580
11004,Madeira-Mamoré,643452,100879,109717,117999,115621,86471,61640,33636,12833,4656
11005,Zona da Mata,135877,19691,20867,23341,22008,19356,15563,9093,4304,1654
11006,Cone Sul,158113,23968,25101,27603,26771,21977,16975,9675,4402,1641
11007,Vale do Guaporé,50453,8999,8719,9149,7698,6675,4663,2759,1334,457
12001,Alto Acre,71429,13109,14150,12985,10651,8512,5792,3463,1902,865
12002,Baixo Acre e Purus,576027,99199,115603,105616,91989,70073,46202,27954,13503,5888
12003,Juruá e Tarauacá/Envira,234479,55560,54062,41850,32310,22490,13520,8000,4616,2071
13001,"Manaus, Entorno e Alto Rio Negro",2576049,442011,471007,473517,429569,335686,219514,126454,55457,22834
13002,Rio Negro e Solimões,297949,66452,60461,56908,44552,30537,19072,11355,5907,2705
13003,Rio Madeira,199609,41892,37772,39117,31052,21524,14132,8205,4121,1794
13004,Médio Amazonas,172997,38403,33073,31123,24580,19024,12850,7983,4082,1879
13005,Baixo Amazonas,250599,59608,50149,45786,34146,24680,17098,10811,5419,2902
13006,Regional Purus,132588,29467,26093,24331,19914,13792,9250,5651,2894,1196
13007,Regional Juruá,137818,35426,28833,25106,19617,12549,8286,4570,2416,1015
13008,Triângulo,125121,31699,27305,23009,17348,11535,7029,4069,2199,928
13009,Alto Solimões,251867,64576,53925,46783,34675,22470,14811,8212,4450,1965
14001,Centro Norte,515366,95608,91110,101178,90247,62500,39676,22405,9320,3322
14002,Sul,90395,16806,15203,18190,16227,10703,7073,3951,1745,497
15001,Araguaia,566682,90362,104291,110346,99732,74283,46263,25537,11778,4090
15002,Baixo Amazonas,771715,146710,149203,138538,117212,89158,60857,40062,20632,9343
15003,Carajás,875232,155743,172797,167600,149047,102466,65780,37636,17518,6645
15004,Lago de Tucuruí,461593,86179,94872,90892,76303,51427,31468,18747,8649,3056
15006,Metropolitana I,2238680,282580,369166,377415,385044,328570,236527,152999,74371,32008
15007,Metropolitana II,367592,65552,70004,68335,58665,44068,29099,17910,9788,4171
15008,Metropolitana III,939421,163526,179476,175979,151746,112672,74833,46317,24500,10372
15009,Rio Caetés,541251,99509,102227,98478,85747,62756,43252,27798,14650,6834
15010,Tapajós,221135,39175,43161,42518,34413,25197,18707,11217,5003,1744
15011,Tocantins,705089,133290,138045,135253,113589,79237,50401,31740,16283,7251
15012,Xingu,350276,65340,69289,65056,55117,40985,27557,16271,7755,2906
15013,Marajó I,244027,48579,49041,45575,37121,26726,18012,10790,5526,2657
15014,Marajó II,320172,79276,72479,59730,42988,29090,17447,11073,5614,2475
16001,Área Central,566463,103293,109497,107880,94876,69690,42849,23535,10113,4730
16002,Área Norte,69931,16013,14032,12857,10225,7637,5031,2696,1029,411
16003,Área Sudoeste,209337,41657,41895,40441,33143,23336,14655,8369,4025,1816
17001,Médio Norte Araguaia,301862,48609,53420,54717,50205,38295,26543,16810,9005,4258
17002,Bico do Papagaio,209796,38343,36807,36999,32972,24635,17674,12003,6913,3450
17003,Sudeste,98597,16381,15948,17429,14879,12457,9572,6391,3733,1807
17004,Cerrado Tocantins Araguaia,161802,25481,26542,28378,25063,21969,16129,10125,5531,2584
17005,Ilha do Bananal,184257,25473,29043,31232,29396,26104,20109,12893,6859,3148
17006,Capim Dourado,375033,58723,71461,70899,64994,47797,30849,18223,8581,3506
17007,Cantão,130124,19697,21104,21683,20441,17893,13894,8733,4553,2126
17008,Amor Perfeito,111395,18201,18046,19136,17006,14354,10948,7326,4269,2109
21001,Açailândia,297408,54686,61581,55312,46443,32331,22029,14168,7746,3112
21002,Bacabal,269769,46452,51853,47414,41485,31242,22507,15404,8822,4590
21003,Balsas,226350,38756,43788,44282,35448,25094,17984,11545,6335,3118
21004,Barra do Corda,233372,45101,46682,43675,34547,24518,17418,11232,6886,3313
21005,Caxias,305941,54957,60181,52182,45318,33407,25851,18181,10317,5547
21006,Chapadinha,378364,71779,75127,69359,58171,39670,27976,19022,11295,5965
21007,Codó,309057,55368,60023,53582,45993,33396,25751,18177,10992,5775
21008,Imperatriz,542962,85697,100558,97800,88359,66776,46985,30808,17376,8603
21009,Itapecuru Mirim,384775,71666,76398,72421,59378,40567,28758,19460,10546,5581
21010,Pedreiras,218926,35766,39973,37838,33640,25952,19666,13550,8196,4345
21011,Pinheiro,397484,69779,75754,70023,61960,44899,32637,22322,13057,7053
21012,Presidente Dutra,290770,48458,53352,51515,43849,33837,25446,18031,10789,5493
21013,Rosário,300897,58884,60986,56605,45615,31130,21230,14205,7972,4270
21014,Santa Inês,394248,74430,79182,70067,58990,42193,29622,21113,12397,6254
21015,São João dos Patos,246109,40805,45131,44433,36308,27699,22317,15474,9178,4764
21016,São Luís,1454626,186637,254847,258949,263795,201068,141076,86762,41599,19893
21017,Timon,250006,40176,47098,43585,39630,30388,21784,14763,8331,4251
21018,Viana,273027,46965,51215,48885,44168,30904,22373,15077,8616,4824
21019,Zé Doca,301090,56501,60233,56913,47858,32022,21763,14011,8088,3701
22001,Carnaubais,163350,23337,26420,26209,24391,21425,17308,12896,7696,3668
22002,Chapada das Mangabeiras,197346,34297,36489,34769,29871,22606,17448,12072,6679,3115
